sku_code,sap_code,sap_code_2,updated_date,sku_row_no,type,com_code,product_name,unit,category,pcs_per_carton,carton_length_mm,carton_width_mm,carton_height_mm,pcs_per_pallet,cartons_per_layer,layers_per_pallet,loose_pcs_per_pallet,volume_m3,carton_volume_from_dims_m3,cbm_incl_flap_m3,pcs_weight_kg,carton_weight_kg,pallet_base_pcs_capacity,weight_conflict_flag,imputation_notes
4200006983,4200006983,4200006983,2020-05-22,1,Fan,Z120101-340,Thùng giấy A16008 - Sam sung - 1 cây,CÁI,Fan,1,690,220,2,500,,,0,,0.0003036,0.0003036,,,,0,
4270000267,4270000267,4270000267,2020-05-22,2,OTHER,Z800402-267,CoCaCoLa,CÁI,OTHER,1,355,235,155,,,,,,0.012930875,0.012930875,,,,0,
4100000289,4100000289,4100000289,2020-05-22,3,Fan,VF3422T0,Quạt lửng Tefal - VF3422T0 - thiên thanh,CÁI,Fan,1,770,200,460,24,,,0,,0.07084,0.07084,,,,0,
4200005526,4200005526,4200005526,2020-05-22,4,CW,H07005-4,Nồi canh oxy hóa mềm Unital size 22cm,CÁI,CW,1,525,480,285,192,,,0,,0.07182,0.07182000000000001,,,,0,
7115900505,7115900505,7115900505,2020-05-22,5,CW,F17A22IHA,Chảo chống dính báo nhiệt dùng được trên bếp điện từ F17A22IH- 22cm,CÁI,CW,8,380,255,360,315,,,0,,0.034884,0.004360500000000001,,,,0,
7211002122,7211002122,7211002122,2020-05-22,6,CW,RK805565,Nồi cơm điện IH Tefal RK805565,CÁI,CW,1,440,350,350,30,,,0,,0.0539,0.0539,8.2,8.2,,0,
2100088986,2100088986,2100088986,2020-05-22,7,CW,C6202272,Nồi lẻ cán dài Tefal Expertise có nắp - 16cm,CÁI,CW,4,390,305,230,252,,,0,,0.0273585,0.006839625,1.41,5.64,,0,
2100088994,2100088994,2100088994,2020-05-22,8,CW,C6203272,Nồi lẻ cán dài Tefal Expertise có nắp - 24cm,CÁI,CW,4,580,370,230,140,,,0,,0.049358,0.0123395,2.171,8.682,,1,
2100089957,2100089957,2100089957,2020-05-22,9,CW,C6204672,Nồi lẻ hai quai Tefal Expertise có nắp - 24cm,CÁI,CW,4,560,380,340,120,,,0,,0.072352,0.018088,2.349,9.396,,0,
2100089958,2100089958,2100089958,2020-05-22,10,CW,C6207172,Nồi lẻ hai quai Tefal Expertise có nắp - 26cm,CÁI,CW,4,560,370,350,120,,,0,,0.07252,0.01813,2.514,10.055,,1,
2100090217,2100090217,2100090217,2020-05-22,11,CW,C6820772,Chảo chiên Tefal Character - 30cm,CÁI,CW,6,600,400,270,180,,,0,,0.0648,0.0108,,,,0,
2100090225,2100090225,2100090225,2020-05-22,12,CW,C6820275,Chảo chiên Tefal Character - 21cm,CÁI,CW,6,540,250,210,378,,,0,,0.02835,0.004725,0.818,4.908,,0,
2100108073,2100108073,2100108073,2020-05-22,13,CW,C6422314,Nồi cán dài TEFAL Pure Chef Plus 18cm,CÁI,CW,4,450,400,250,144,,,0,,0.045,0.01125,,,,0,
2100108076,,2100108076,,14,CW,C6428614,Chảo chiên sâu lòng Tefal Pure Chef Plus 28cm,CÁI,CW,4,500,340,280,168,,,0,,0.0476,0.0119,,,,0,
2100108077,,2100108077,,15,CW,C6420214,Chảo chiên Tefal Pure Chef Plus 21cm,CÁI,CW,6,500,330,200,336,,,0,,0.033,0.005500000000000001,,,,0,
2100108078,,2100108078,,16,CW,C6420412,Chảo chiên Tefal Pure Chef Plus 24cm,CÁI,CW,6,560,370,210,270,,,0,,0.043512,0.007252000000000001,,,,0,
2100108079,,2100108079,,17,CW,C6420614,Chảo chiên Tefal Pure Chef Plus 28cm,CÁI,CW,6,495,345,330,210,,,0,,0.05635575,0.009392625,,,,0,
2100108126,,2100108126,,18,CW,C6427914,Nồi Tefal Pure Chef Plus 22cm,CÁI,CW,2,400,295,300,100,,,0,,0.0354,0.0177,1.985,3.97,,0,
2100110225,,2100110225,,19,CW,H9104314,Nồi chống dính Tefal Sensations 18cm,CÁI,CW,4,420,405,250,144,,,0,,0.042525,0.01063125,1.375,5.5,,0,
2100110226,,2100110226,,20,CW,H9104414,Nồi chống dính Tefal Sensations 20cm,CÁI,CW,4,460,415,270,96,,,0,,0.051543,0.01288575,1.55,6.2,,0,
2100110227,,2100110227,,21,CW,H9104614,Nồi chống dính Tefal Sensations 24cm,CÁI,CW,2,540,470,155,80,,,0,,0.039339,0.0196695,2.0,4.0,,0,
2100110228,,2100110228,,22,CW,H9109014,Chảo chiên sâu lòng Tefal Sensations 28 cm,CÁI,CW,3,530,320,250,105,5,7,0,,0.0424,0.01413333333333333,1.8,5.4,105,0,
2100110230,,2100110230,,23,CW,H9100514,Chảo chiên Tefal Sensations 26 cm,CÁI,CW,4,450,300,230,196,7,7,0,,0.03105,0.0077625,1.0,4.0,196,0,
2100110231,,2100110231,,24,CW,H9100614,Chảo chiên Tefal Sensations 28 cm,CÁI,CW,4,460,320,240,196,7,7,0,,0.035328,0.008832000000000001,1.0,4.0,196,0,
2100114151,,2100114151,,25,CW,B9052395,Quánh inox Simpleo 18cm,CÁI,CW,4,500,430,270,96,4,6,0,,0.05805,0.0145125,1.575,6.3,96,0,
2100114152,,2100114152,,26,CW,B9054495,Nồi inox Simpleo 20cm,CÁI,CW,4,540,380,280,120,5,6,0,,0.057456,0.014364,1.75,7.0,120,0,
2100114153,,2100114153,,27,CW,B9054695,Nồi inox Simpleo 24cm,CÁI,CW,2,660,380,170,80,4,10,0,,0.042636,0.021318,2.3,4.6,80,0,
2100114154,,2100114154,,28,CW,B907S644,Bộ nồi inox Simpleo 3 cái,BỘ,CW,1,360,360,270,36,6,6,0,,0.034992,0.034992,5.0,5.0,36,0,
7114900004,,7114900004,,29,CW,YL183F5,Nồi áp suất 1 tay cầm YL183F5,CÁI,CW,4,420,400,470,72,,,0,,0.07896,0.01974,2.1,8.4,,0,
7114900022,,7114900022,,30,CW,YGH22,Nồi áp suât oxy hóa cứng Ever YGH22 - 22cm,CÁI,CW,6,750,390,550,54,,,0,,0.160875,0.0268125,3.4,20.4,,0,
7115900031,,7115900031,,31,CW,PJ12C2,Chảo chống dính Mini PJ12C2-12cm,CÁI,CW,24,385,265,255,1440,,,0,,0.026016375,0.001084015625,0.183,4.4,,1,
7115900037,,7115900037,,32,CW,HT08008-1,Nồi canh hợp kim nhôm oxy hóa mềm Healthy HT08008-1/ 18cm,CÁI,CW,8,475,405,280,288,,,0,,0.053865,0.006733125,0.5,4.0,,0,
7115900038,,7115900038,,33,CW,HT08008-2,Nồi canh hợp kim nhôm oxy hóa mềm Healthy HT08008-2/ 20cm,CÁI,CW,8,500,445,295,192,,,0,,0.0656375,0.0082046875,0.8,6.4,,0,
7115900039,,7115900039,,34,CW,HT08008-3,Nồi canh hợp kim nhôm oxy hóa mềm Healthy HT08008-3/ 22cm,CÁI,CW,8,525,485,320,160,,,0,,0.08148,0.010185,1.063,8.5,,1,
7115900040,,7115900040,,35,CW,HT08008-4,Nồi canh hợp kim nhôm oxy hóa mềm Healthy HT08008-4/ 26cm,CÁI,CW,8,580,565,355,80,,,0,,0.1163335,0.0145416875,1.5,12.0,,0,
7115900050,,7115900050,,36,CW,PS14,Nồi sữa hợp kim nhôm oxy hóa mềm PS14 - 14cm,CÁI,CW,20,500,335,375,560,7,4,0,,0.0628125,0.003140625,0.7,14.0,560,0,
7115900119,,7115900119,,37,CW,HT08008-5,Nồi canh hợp kim nhôm oxy hóa mềm Healthy HT08008-5/ 24cm,CÁI,CW,8,545,535,330,160,,,0,,0.09621975,0.01202746875,1.225,9.8,,0,
7115900120,,7115900120,,38,CW,HT08008-6,Nồi canh hợp kim nhôm oxy hóa mềm Healthy HT08008-6/ 30cm,CÁI,CW,4,670,330,485,56,,,0,,0.1072335,0.026808375,2.325,9.3,,0,
7115900322,,7115900322,,39,CW,F06A26,Chảo chống dính Comfort F06A26-26cm,CÁI,CW,14,540,335,330,350,,,0,,0.059697,0.004264071428571429,0.6857142857142857,9.6,,0,
7115900324,,7115900324,,40,CW,F06A30,Chảo chống dính Comfort F06A30-30cm,CÁI,CW,14,625,365,340,280,,,0,,0.0775625,0.005540178571428572,0.8428571428571429,11.8,,0,
7115900500,,7115900500,,41,CW,W06A36,Chảo xào chống dính Comfort W06A36/36cm,CÁI,CW,6,380,380,320,180,,,0,,0.046208,0.007701333333333334,1.3,7.800000000000001,,0,
7115900702,,7115900702,,42,CW,S30A18,Nồi canh oxy hóa mềm Comfort-S30A18-18cm,CÁI,CW,6,380,265,380,240,,,0,,0.038266,0.006377666666666667,0.933,5.6,,1,
7115900703,,7115900703,,43,CW,S30A20,Nồi canh oxy hóa mềm Comfort-S30A20-20cm,CÁI,CW,4,450,350,270,144,,,0,,0.042525,0.01063125,1.2,4.8,,0,
