customer_name,customer_key,customer_location_key,delivery_address,customer_location_count,customer_key_is_ambiguous,customer_match_status,province,hcmc_district,region,latitude,longitude,distance_from_my_phuoc_km,distance_from_vinh_loc_km,Source Sheet
CH ĐIỆN MÁY SƠN NGHIỆP,CH ĐIEN MAY SON NGHIEP,"CH ĐIEN MAY SON NGHIEP | 243 THONG NHAT, PHAN RI CUA, TUY PHONG, BINH THUAN","243 THỐNG NHẤT, PHAN RÍ CỬA, TUY PHONG, BÌNH THUẬN",2,True,ambiguous_multi_location_customer,Binh Thuan,,Central,10.933,108.101,163.99419165317084,168.54224263147867,pivot
CH ĐIỆN MÁY SƠN NGHIỆP,CH ĐIEN MAY SON NGHIEP,"CH ĐIEN MAY SON NGHIEP | 243 THONG NHAT, XA PHAN RI CUA, TINH LAM ĐONG","243 Thống Nhất, Xã Phan Rí Cửa, Tỉnh Lâm Đồng",2,True,unusable_or_missing_geography,Unknown,,Unknown,,,,,pivot
CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI HÀ NỘI,CHI NHANH CONG TY CO PHAN BAN LE KY THUAT SO FPT TAI HA NOI,"CHI NHANH CONG TY CO PHAN BAN LE KY THUAT SO FPT TAI HA NOI | TANG 2, SO 39 NGUYEN HOANG, TO DAN PHO SO 6 PHU MY, P. MY ĐINH 2, Q. NAM TU LIEM, TP. HA NOI.","Tầng 2, Số 39 Nguyễn Hoàng, Tổ Dân Phố Số 6 Phú Mỹ, P. Mỹ Đình 2, Q. Nam Từ Liêm, TP. Hà Nội.",2,True,ambiguous_multi_location_customer,Ha Noi,,North,21.028,105.854,1101.1574594303572,1141.4962037906485,pivot
CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI HÀ NỘI,CHI NHANH CONG TY CO PHAN BAN LE KY THUAT SO FPT TAI HA NOI,"CHI NHANH CONG TY CO PHAN BAN LE KY THUAT SO FPT TAI HA NOI | TO DAN PHO 4, THI TRAN QUANG MINH, HUYEN ME LINH, HA NOI","Tổ Dân Phố 4, Thị Trấn Quang Minh, Huyện Mê Linh, Hà Nội",2,True,ambiguous_multi_location_customer,Ha Noi,,North,21.028,105.854,1101.1574594303572,1141.4962037906485,pivot
CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ ĐIỆN MÁY XANH - AN GIANG,CHI NHANH CONG TY CO PHAN ĐAU TU ĐIEN MAY XANH - AN GIANG,"CHI NHANH CONG TY CO PHAN ĐAU TU ĐIEN MAY XANH - AN GIANG | SO 129 TRAN HUNG ĐAO, PHUONG LONG XUYEN, TINH AN GIANG, VIET NAM","Số 129 Trần Hưng Đạo, Phường Long Xuyên, Tỉnh An Giang, Việt Nam",1,False,unique_resolvable_customer_geography,An Giang,,Mekong Delta,10.521,105.125,177.20716575228917,160.0753797999497,pivot
CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ ĐIỆN MÁY XANH - BẠC LIÊU,CHI NHANH CONG TY CO PHAN ĐAU TU ĐIEN MAY XANH - BAC LIEU,"CHI NHANH CONG TY CO PHAN ĐAU TU ĐIEN MAY XANH - BAC LIEU | SO 37, TRAN HUYNH, PHUONG BAC LIEU, TINH CA MAU, VIET NAM","Số 37, Trần Huỳnh, Phường Bạc Liêu, Tỉnh Cà Mau, Việt Nam",1,False,unusable_or_missing_geography,Unknown,,Unknown,,,,,pivot
CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ ĐIỆN MÁY XANH - BẾN TRE,CHI NHANH CONG TY CO PHAN ĐAU TU ĐIEN MAY XANH - BEN TRE,"CHI NHANH CONG TY CO PHAN ĐAU TU ĐIEN MAY XANH - BEN TRE | SO 21A1, TRAN HUNG ĐAO, KHU PHO 2, XA BA TRI, TINH VINH LONG, VIET NAM","Số 21A1, Trần Hưng Đạo, khu phố 2, Xã Ba Tri, Tỉnh Vĩnh Long, Việt Nam",1,False,unique_resolvable_customer_geography,Vinh Long,,Mekong Delta,10.254,105.973,122.02815193879003,87.60725054822156,pivot
CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ ĐIỆN MÁY XANH - BÌNH ĐỊNH,CHI NHANH CONG TY CO PHAN ĐAU TU ĐIEN MAY XANH - BINH ĐINH,"CHI NHANH CONG TY CO PHAN ĐAU TU ĐIEN MAY XANH - BINH ĐINH | SO 320 ĐUONG PHAN BOI CHAU, PHUONG QUY NHON, TINH GIA LAI, VIET NAM","Số 320 đường Phan Bội Châu, Phường Quy Nhơn, Tỉnh Gia Lai, Việt Nam",1,False,unusable_or_missing_geography,Unknown,,Unknown,,,,,pivot
CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ ĐIỆN MÁY XANH - BÌNH DƯƠNG,CHI NHANH CONG TY CO PHAN ĐAU TU ĐIEN MAY XANH - BINH DUONG,"CHI NHANH CONG TY CO PHAN ĐAU TU ĐIEN MAY XANH - BINH DUONG | SO 237 NGUYEN AN NINH, KHU PHO BINH MINH 2, PHUONG DI AN, THANH PHO HO CHI MINH, VIET NAM","Số 237 Nguyễn An Ninh, khu phố Bình Minh 2, Phường Dĩ An, Thành phố Hồ Chí Minh, Việt Nam",4,True,ambiguous_multi_location_customer,Ho Chi Minh City,HCMC unspecified,HCMC,10.776,106.701,42.85038075579038,14.889282161736565,pivot
CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ ĐIỆN MÁY XANH - BÌNH DƯƠNG,CHI NHANH CONG TY CO PHAN ĐAU TU ĐIEN MAY XANH - BINH DUONG,"CHI NHANH CONG TY CO PHAN ĐAU TU ĐIEN MAY XANH - BINH DUONG | SO 322 ĐAI LO BINH DUONG, KHU PHO 1, PHUONG PHU LOI, THANH PHO HO CHI MINH, VIET NAM","Số 322 Đại lộ Bình Dương, khu phố 1, Phường Phú Lợi, Thành phố Hồ Chí Minh, Việt Nam",4,True,ambiguous_multi_location_customer,Binh Duong,,Southeast / HCMC fringe,11.05,106.667,12.681954889846134,31.500912827113666,pivot
