geography_level,geography_name,orders,quantity,rank_by_orders,rank_by_quantity
province,Hồ Chí Minh,1267,42256.09166666667,1,1
province,Đồng Nai,387,5579.333333333333,2,9
province,Đà Nẵng,204,15522.979166666666,3,3
province,Bình Dương,194,19814.166666666668,4,2
province,Cần Thơ,177,10561.083333333334,5,4
province,Hà Nội,164,10455.466666666667,6,5
province,Khánh Hòa,141,7083.75,7,7
province,Đắk Lắk,113,2752.75,8,15
province,Tiền Giang,111,8410.583333333334,9,6
province,Hòa Bình,108,2796.75,10,14
province,Bình Thuận,81,6993.175,11,8
province,Quảng Nam,69,4592.175,13,10
