province,shipment_lines,orders,customers,quantity,cbm_total,my_phuoc_orders,vinh_loc_orders,my_phuoc_quantity,vinh_loc_quantity,my_phuoc_quantity_share,vinh_loc_quantity_share,dominant_warehouse,rank_by_orders,rank_by_quantity
Hồ Chí Minh,6585,1267,107,42256.09166666667,2234.569009130589,903,364,39165.0,3091.0916666666667,0.9268486141347273,0.07315138586527269,My Phuoc,1,1
Đồng Nai,1106,387,13,5579.333333333333,268.1942945039869,356,31,5383.0,196.33333333333334,0.964810610586689,0.03518938941331103,My Phuoc,2,9
Đà Nẵng,999,204,11,15522.979166666666,911.0037923322834,147,57,14692.0,830.9791666666666,0.9464678037801486,0.05353219621985148,My Phuoc,3,3
Bình Dương,678,194,10,19814.166666666668,1271.7093255601667,111,83,17295.0,2519.1666666666665,0.8728603272069647,0.12713967279303526,My Phuoc,4,2
Cần Thơ,821,177,8,10561.083333333334,640.4765918687334,123,54,9788.0,773.0833333333334,0.9267988605966875,0.07320113940331248,My Phuoc,5,4
Hà Nội,514,164,16,10455.466666666667,606.1323769640167,100,64,9690.0,765.4666666666667,0.9267879004284839,0.07321209957151602,My Phuoc,6,5
Khánh Hòa,526,141,9,7083.75,427.51156862633337,95,46,6618.0,465.75,0.9342509264160932,0.06574907358390683,My Phuoc,7,7
Đắk Lắk,392,113,9,2752.75,161.18169044725,63,50,2185.0,567.75,0.793751702842612,0.20624829715738807,My Phuoc,8,15
Tiền Giang,317,111,6,8410.583333333334,523.9287055833333,69,42,7703.0,707.5833333333334,0.9158698861553399,0.08413011384466,My Phuoc,9,6
Hòa Bình,704,108,7,2796.75,128.51183652166668,74,34,2152.0,644.75,0.7694645570751766,0.23053544292482345,My Phuoc,10,14
Bình Thuận,369,81,5,6993.175,394.9125891933167,61,20,6806.0,187.175,0.9732346180383016,0.02676538196169837,My Phuoc,11,8
Hải Phòng,176,75,5,3240.4583333333335,221.55305854166667,44,31,3135.0,105.45833333333333,0.967455735428373,0.03254426457162695,My Phuoc,12,12
Quảng Nam,172,69,5,4592.175,234.57747338640002,29,40,4009.0,583.175,0.8730067996102064,0.1269932003897935,My Phuoc,13,10
Nghệ An,167,65,5,4297.916666666667,211.20763248416668,56,9,4269.0,28.916666666666668,0.9932719340765874,0.006728065923412506,My Phuoc,16,11
