province,region,shipment_lines,orders,customers,quantity,cbm_total,quantity_rank,orders_rank,customers_rank
Hồ Chí Minh,Đông Nam Bộ,7370,1491,107,53549.09166666667,2905.882611973789,1,1,1
Bình Dương,Đông Nam Bộ,759,247,10,27622.166666666668,1787.5644663497667,2,4,6
Đà Nẵng,Bắc Trung Bộ và Duyên hải miền Trung,1149,249,11,21658.979166666668,1296.82291338295,3,3,5
Cần Thơ,Đồng bằng sông Cửu Long,934,217,8,16519.083333333332,1021.7180662746667,4,5,9
Hà Nội,Đồng bằng sông Hồng,536,182,15,12804.466666666667,786.0565525640167,5,6,2
Tiền Giang,Đồng bằng sông Cửu Long,367,139,6,12118.583333333334,763.2372886166667,6,9,14
Khánh Hòa,Bắc Trung Bộ và Duyên hải miền Trung,608,175,9,10830.75,676.1660348096667,7,7,7
Bình Thuận,Bắc Trung Bộ và Duyên hải miền Trung,454,100,5,9899.175,594.2055394106501,8,11,17
Đồng Nai,Đông Nam Bộ,1184,404,13,6370.333333333333,299.4261836015869,9,2,3
Quảng Nam,Bắc Trung Bộ và Duyên hải miền Trung,221,80,5,6290.175,320.24776671973336,10,14,21
Nghệ An,Bắc Trung Bộ và Duyên hải miền Trung,193,75,5,5567.916666666667,273.9857199841667,11,15,20
Hải Phòng,Đồng bằng sông Hồng,198,91,5,5384.458333333333,367.15051784166667,12,12,19
Huế,Bắc Trung Bộ và Duyên hải miền Trung,277,65,6,4606.733333333334,259.28741212656666,13,17,13
Đắk Lắk,Tây Nguyên,448,145,9,4280.75,234.7986612139167,14,8,8
Thanh Hóa,Bắc Trung Bộ và Duyên hải miền Trung,181,87,8,3365.0,215.696072815,15,13,10
Hòa Bình,Trung du và miền núi phía Bắc,773,123,7,3007.75,136.15129807453334,16,10,11
Phú Thọ,Trung du và miền núi phía Bắc,122,57,3,2303.0833333333335,154.52917221666667,17,18,31
Bắc Giang,Trung du và miền núi phía Bắc,129,41,4,1870.4166666666667,104.61438253833334,18,19,25
Quảng Bình,Bắc Trung Bộ và Duyên hải miền Trung,57,20,3,1208.8333333333333,60.28217787083334,19,31,32
An Giang,Đồng bằng sông Cửu Long,253,73,11,1139.5,55.73043952566667,20,16,4
Quảng Trị,Bắc Trung Bộ và Duyên hải miền Trung,101,22,3,997.0,56.93964978291667,21,29,33
Vĩnh Long,Đồng bằng sông Cửu Long,151,35,5,608.0833333333334,31.22332722626667,22,21,22
Bình Phước,Đông Nam Bộ,15,8,2,536.5833333333334,24.719086333333337,23,46,36
Bình Định,Bắc Trung Bộ và Duyên hải miền Trung,185,29,4,527.0,25.927637634333333,24,23,23
Kiên Giang,Đồng bằng sông Cửu Long,92,15,3,453.0,21.220868709433336,25,38,28
Cao Bằng,Trung du và miền núi phía Bắc,15,7,1,374.0,14.263256666666667,26,48,51
Bến Tre,Đồng bằng sông Cửu Long,94,25,5,350.3333333333333,16.347718654833333,27,26,18
Quảng Ninh,Trung du và miền núi phía Bắc,60,22,2,324.9166666666667,27.923240479166665,28,28,44
Gia Lai,Tây Nguyên,153,36,4,320.98333333333335,15.407653366783334,29,20,26
Cà Mau,Đồng bằng sông Cửu Long,74,27,6,316.6666666666667,16.479133966666666,30,24,12
Tây Ninh,Đông Nam Bộ,105,21,3,256.51666666666665,13.495226400083334,31,30,35
Yên Bái,Trung du và miền núi phía Bắc,40,18,6,250.16666666666666,15.486426070750001,32,33,15
Long An,Đồng bằng sông Cửu Long,96,27,3,220.5,9.752793833333333,33,25,29
Quảng Ngãi,Bắc Trung Bộ và Duyên hải miền Trung,91,33,4,205.33333333333334,15.583617444166668,34,22,27
Đồng Tháp,Đồng bằng sông Cửu Long,84,20,2,183.0,8.662316650133334,35,32,48
Lâm Đồng,Tây Nguyên,75,17,2,167.33333333333334,6.774636933333333,36,34,41
Lạng Sơn,Trung du và miền núi phía Bắc,27,11,2,158.79166666666666,7.683393958333334,37,44,42
Bà Rịa - Vũng Tàu,Đông Nam Bộ,27,15,5,140.75,9.316428986250001,38,37,16
Thái Nguyên,Trung du và miền núi phía Bắc,26,16,3,134.0,7.113476554166667,39,36,34
Nam Định,Đồng bằng sông Hồng,44,24,3,131.41666666666666,7.010354799583334,40,27,30
Trà Vinh,Đồng bằng sông Cửu Long,48,13,1,131.0,7.2221635976,41,41,58
Sóc Trăng,Đồng bằng sông Cửu Long,59,16,2,128.08333333333334,6.046317241916667,42,35,45
Hậu Giang,Đồng bằng sông Cửu Long,8,4,2,86.33333333333333,3.7375663333333335,43,56,40
Bạc Liêu,Đồng bằng sông Cửu Long,11,5,4,81.66666666666667,6.027454,44,53,24
Ninh Bình,Đồng bằng sông Hồng,25,10,1,80.0,5.0502919791666665,45,45,56
Sơn La,Trung du và miền núi phía Bắc,13,6,2,73.41666666666667,4.54240125,46,52,46
Hưng Yên,Đồng bằng sông Hồng,28,13,1,64.91666666666667,5.26979475,47,40,53
Hà Nam,Đồng bằng sông Hồng,16,6,2,59.666666666666664,2.419758125,48,51,37
Bắc Ninh,Đồng bằng sông Hồng,31,14,1,57.416666666666664,3.55957715,49,39,50
Hải Dương,Đồng bằng sông Hồng,24,11,2,55.833333333333336,3.351977479166667,50,43,39
Tuyên Quang,Trung du và miền núi phía Bắc,30,8,2,48.166666666666664,3.6352896666666665,51,47,47
Hà Tĩnh,Bắc Trung Bộ và Duyên hải miền Trung,20,7,2,39.5,2.71600325,52,50,38
Vĩnh Phúc,Đồng bằng sông Hồng,19,13,1,34.833333333333336,2.2982400625,53,42,59
Hà Giang,Trung du và miền núi phía Bắc,14,7,1,29.25,2.1765535833333334,54,49,52
Lào Cai,Trung du và miền núi phía Bắc,12,5,1,27.166666666666668,1.631410375,55,55,55
Phú Yên,Bắc Trung Bộ và Duyên hải miền Trung,12,4,2,20.333333333333332,1.7578358541666668,56,57,43
Điện Biên,Trung du và miền núi phía Bắc,4,2,1,5.833333333333334,0.5906513333333333,57,60,60
Bắc Kạn,Trung du và miền núi phía Bắc,5,5,1,4.666666666666667,0.29542700000000005,58,54,49
Ninh Thuận,Bắc Trung Bộ và Duyên hải miền Trung,2,2,1,3.75,0.4698819125,59,59,57
Kon Tum,Tây Nguyên,4,3,1,3.25,0.39013380350000004,60,58,54
