province,region,shipment_lines,orders,customers,quantity,cbm_total,quantity_rank,orders_rank,customers_rank,my_phuoc_orders,vinh_loc_orders,my_phuoc_quantity,vinh_loc_quantity,my_phuoc_quantity_share,vinh_loc_quantity_share,quantity_share_gap,dominance_intensity,dominant_warehouse
Quảng Trị,Bắc Trung Bộ và Duyên hải miền Trung,101,22,3,997.0,56.93964978291667,21,29,33,22,0,997.0,0.0,1.0,0.0,1.0,1.0,My Phuoc
Cao Bằng,Trung du và miền núi phía Bắc,15,7,1,374.0,14.263256666666667,26,48,51,7,0,374.0,0.0,1.0,0.0,1.0,1.0,My Phuoc
Đồng Tháp,Đồng bằng sông Cửu Long,84,20,2,183.0,8.662316650133334,35,32,48,20,0,183.0,0.0,1.0,0.0,1.0,1.0,My Phuoc
Trà Vinh,Đồng bằng sông Cửu Long,48,13,1,131.0,7.2221635976,41,41,58,13,0,131.0,0.0,1.0,0.0,1.0,1.0,My Phuoc
Điện Biên,Trung du và miền núi phía Bắc,4,2,1,5.833333333333334,0.5906513333333333,57,60,60,0,2,0.0,5.833333333333334,0.0,1.0,-1.0,1.0,Vinh Loc
Bắc Kạn,Trung du và miền núi phía Bắc,5,5,1,4.666666666666667,0.29542700000000005,58,54,49,0,5,0.0,4.666666666666667,0.0,1.0,-1.0,1.0,Vinh Loc
Ninh Thuận,Bắc Trung Bộ và Duyên hải miền Trung,2,2,1,3.75,0.4698819125,59,59,57,0,2,0.0,3.75,0.0,1.0,-1.0,1.0,Vinh Loc
Kon Tum,Tây Nguyên,4,3,1,3.25,0.39013380350000004,60,58,54,0,3,0.0,3.25,0.0,1.0,-1.0,1.0,Vinh Loc
Nghệ An,Bắc Trung Bộ và Duyên hải miền Trung,193,75,5,5567.916666666667,273.9857199841667,11,15,20,66,9,5539.0,28.916666666666668,0.9948065554142034,0.005193444585796602,0.9896131108284068,0.9896131108284068,My Phuoc
Bình Định,Bắc Trung Bộ và Duyên hải miền Trung,185,29,4,527.0,25.927637634333333,24,23,23,27,2,522.0,5.0,0.9905123339658444,0.009487666034155597,0.9810246679316887,0.9810246679316887,My Phuoc
