ship_to_customer,customer_key,customer_match_status,shipment_rows,orders,quantity
NHÂN VIÊN MUA HÀNG HAPPY GOODS,NHAN VIEN MUA HANG HAPPY GOODS,unmatched_customer_key,590,277,1883.0
CÔNG TY CỔ PHẦN MEDIAMART VIỆT NAM,CONG TY CO PHAN MEDIAMART VIET NAM,ambiguous_multi_location_customer,387,120,765.2916666666666
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TUVINA,CONG TY TNHH THUONG MAI DICH VU TUVINA,ambiguous_multi_location_customer,348,129,13879.0
CÔNG TY CỔ PHẦN GROUPE SEB VIỆT NAM,CONG TY CO PHAN GROUPE SEB VIET NAM,ambiguous_multi_location_customer,311,87,921.1482142857143
CÔNG TY CỔ PHẦN ĐẦU TƯ ĐIỆN MÁY XANH- TPHCM,CONG TY CO PHAN DAU TU DIEN MAY XANH- TPHCM,ambiguous_multi_location_customer,280,70,1376.7916666666667
CÔNG TY TNHH THISO RETAIL (E-Mart),CONG TY TNHH THISO RETAIL (E-MART),ambiguous_multi_location_customer,278,87,821.3333333333334
CÔNG TY TNHH S-RETAIL VN,CONG TY TNHH S-RETAIL VN,ambiguous_multi_location_customer,265,71,2146.0208333333335
CÔNG TY CỔ PHẦN THẾ GIỚI DI ĐỘNG- TPHCM,CONG TY CO PHAN THE GIOI DI DONG- TPHCM,ambiguous_multi_location_customer,247,108,23764.916666666668
CÔNG TY TNHH MM MEGA MARKET (VIỆT NAM),CONG TY TNHH MM MEGA MARKET (VIET NAM),ambiguous_multi_location_customer,242,61,1754.0833333333333
CHI NHÁNH CÔNG TY CỔ PHẦN THẾ GIỚI DI ĐỘNG - BÌNH DƯƠNG,CHI NHANH CONG TY CO PHAN THE GIOI DI DONG - BINH DUONG,ambiguous_multi_location_customer,237,104,21607.916666666668
CHI NHÁNH CÔNG TY TNHH CAO PHONG TẠI CẦN THƠ - SIÊU THỊ ĐIỆN MÁY NỘI THẤT CHỢ LỚN,CHI NHANH CONG TY TNHH CAO PHONG TAI CAN THO - SIEU THI DIEN MAY NOI THAT CHO LON,ambiguous_multi_location_customer,205,21,592.0
CHI NHÁNH CÔNG TY CỔ PHẦN THẾ GIỚI DI ĐỘNG - TIỀN GIANG,CHI NHANH CONG TY CO PHAN THE GIOI DI DONG - TIEN GIANG,ambiguous_multi_location_customer,194,80,11197.416666666666
CÔNG TY TNHH THƯƠNG MẠI VHC,CONG TY TNHH THUONG MAI VHC,ambiguous_multi_location_customer,192,55,661.5833333333334
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ BẮC BÌNH,CONG TY TNHH THUONG MAI DICH VU BAC BINH,ambiguous_multi_location_customer,179,59,9022.458333333334
CHI NHÁNH CÔNG TY CỔ PHẦN THẾ GIỚI DI ĐỘNG - KHÁNH HÒA,CHI NHANH CONG TY CO PHAN THE GIOI DI DONG - KHANH HOA,ambiguous_multi_location_customer,173,73,7865.083333333333
CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ ĐIỆN MÁY XANH - BÌNH DƯƠNG,CHI NHANH CONG TY CO PHAN DAU TU DIEN MAY XANH - BINH DUONG,ambiguous_multi_location_customer,162,42,1367.3333333333333
CHI NHÁNH CÔNG TY TNHH CAO PHONG TẠI BÌNH DƯƠNG - SIÊU THỊ ĐIỆN MÁY NỘI THẤT CHỢ LỚN - ĐĐKD AN PHÚ,CHI NHANH CONG TY TNHH CAO PHONG TAI BINH DUONG - SIEU THI DIEN MAY NOI THAT CHO LON - DDKD AN PHU,ambiguous_multi_location_customer,152,24,421.0
CÔNG TY TNHH SAIGON CO-OP FAIRPRICE,CONG TY TNHH SAIGON CO-OP FAIRPRICE,ambiguous_multi_location_customer,151,48,194.78333333333333
CHI NHÁNH CÔNG TY CỔ PHẦN THẾ GIỚI DI ĐỘNG - HÀ NỘI,CHI NHANH CONG TY CO PHAN THE GIOI DI DONG - HA NOI,ambiguous_multi_location_customer,147,56,7627.0
CHI NHÁNH CÔNG TY TNHH CAO PHONG TẠI GIA LAI - SIÊU THỊ ĐiỆN MÁY NỘI THẤT CHỢ LỚN,CHI NHANH CONG TY TNHH CAO PHONG TAI GIA LAI - SIEU THI DIEN MAY NOI THAT CHO LON,ambiguous_multi_location_customer,119,20,280.0
