source_warehouse,region,province,geography_source,shipment_lines,orders,customers,quantity,cbm_total
My Phuoc,Đông Nam Bộ,Hồ Chí Minh,transaction_text_parse,3523,569,44,26553.0,1478.1418052210001
My Phuoc,Đông Nam Bộ,Bình Dương,transaction_text_parse,201,71,4,14277.0,907.8942633666667
My Phuoc,Đông Nam Bộ,Hồ Chí Minh,distributor_match,1796,334,21,12612.0,580.1444263399555
My Phuoc,Đồng bằng sông Cửu Long,Cần Thơ,transaction_text_parse,410,87,3,8938.0,555.9505140858
My Phuoc,Đồng bằng sông Hồng,Hà Nội,transaction_text_parse,283,90,8,8539.0,514.7985719000001
My Phuoc,Bắc Trung Bộ và Duyên hải miền Trung,Đà Nẵng,distributor_match,507,78,4,7839.0,428.05456173653334
My Phuoc,Đồng bằng sông Cửu Long,Tiền Giang,transaction_text_parse,195,66,3,7591.0,480.27770353333335
My Phuoc,Bắc Trung Bộ và Duyên hải miền Trung,Đà Nẵng,transaction_text_parse,322,69,3,6853.0,435.3570030336667
My Phuoc,Bắc Trung Bộ và Duyên hải miền Trung,Bình Thuận,transaction_text_parse,95,34,1,5946.0,340.164525
My Phuoc,Bắc Trung Bộ và Duyên hải miền Trung,Khánh Hòa,transaction_text_parse,343,87,5,5313.0,323.321520718
My Phuoc,Bắc Trung Bộ và Duyên hải miền Trung,Nghệ An,transaction_text_parse,147,55,3,4261.0,208.86295089583334
My Phuoc,Bắc Trung Bộ và Duyên hải miền Trung,Quảng Nam,distributor_match,49,25,2,3837.0,191.1421775
My Phuoc,Đồng bằng sông Hồng,Hải Phòng,transaction_text_parse,115,42,2,3123.0,214.39166378333334
My Phuoc,Đông Nam Bộ,Bình Dương,distributor_match,171,40,4,3018.0,208.20166210033335
My Phuoc,Đông Nam Bộ,Đồng Nai,transaction_text_parse,810,314,7,2911.0,139.77765141580358
My Phuoc,Bắc Trung Bộ và Duyên hải miền Trung,Huế,distributor_match,69,18,1,2561.0,139.13195000000002
My Phuoc,Đông Nam Bộ,Đồng Nai,distributor_match,232,42,3,2472.0,116.78709622226667
Vinh Loc,Đông Nam Bộ,Hồ Chí Minh,transaction_text_parse,803,243,35,2467.625,141.81038362576666
My Phuoc,Tây Nguyên,Đắk Lắk,transaction_text_parse,256,62,4,2181.0,125.138707301
My Phuoc,Trung du và miền núi phía Bắc,Hòa Bình,transaction_text_parse,593,74,6,2152.0,98.07242332666667
My Phuoc,Bắc Trung Bộ và Duyên hải miền Trung,Thanh Hóa,transaction_text_parse,83,39,3,1733.0,109.51292450000001
Vinh Loc,Đông Nam Bộ,Bình Dương,transaction_text_parse,235,64,4,1573.6666666666667,77.8699386705
My Phuoc,Trung du và miền núi phía Bắc,Phú Thọ,transaction_text_parse,79,32,2,1364.0,93.3528969
My Phuoc,Bắc Trung Bộ và Duyên hải miền Trung,Khánh Hòa,distributor_match,49,8,1,1305.0,79.49823900000001
My Phuoc,Đồng bằng sông Hồng,Hà Nội,distributor_match,46,10,3,1151.0,52.232683
My Phuoc,Trung du và miền núi phía Bắc,Bắc Giang,transaction_text_parse,58,20,3,1136.0,59.045185000000004
Vinh Loc,Đông Nam Bộ,Bình Dương,distributor_match,71,21,2,945.5,77.74346142266667
My Phuoc,Bắc Trung Bộ và Duyên hải miền Trung,Bình Thuận,distributor_match,202,27,3,860.0,41.02523189233334
My Phuoc,Đồng bằng sông Cửu Long,Cần Thơ,distributor_match,275,36,3,850.0,41.888498157933334
Vinh Loc,Bắc Trung Bộ và Duyên hải miền Trung,Đà Nẵng,distributor_match,146,49,3,725.1458333333334,40.673275429166665
Vinh Loc,Đồng bằng sông Cửu Long,Tiền Giang,transaction_text_parse,107,42,2,707.5833333333334,36.89416955
Vinh Loc,Đồng bằng sông Cửu Long,Cần Thơ,distributor_match,110,44,1,659.9166666666666,32.460859475
Vinh Loc,Trung du và miền núi phía Bắc,Hòa Bình,transaction_text_parse,111,34,3,644.75,30.439413195
Vinh Loc,Đông Nam Bộ,Hồ Chí Minh,distributor_match,463,141,17,623.4666666666667,34.47239394386667
Vinh Loc,Bắc Trung Bộ và Duyên hải miền Trung,Quảng Nam,transaction_text_parse,116,37,3,579.8416666666667,31.724566386400003
My Phuoc,Bắc Trung Bộ và Duyên hải miền Trung,Quảng Trị,distributor_match,50,13,1,572.0,32.432712566250004
Vinh Loc,Tây Nguyên,Đắk Lắk,transaction_text_parse,135,50,5,567.75,35.77298314625
My Phuoc,Bắc Trung Bộ và Duyên hải miền Trung,Quảng Bình,distributor_match,34,11,1,524.0,24.820189000000003
