customer_segment,province,region,orders,customers,quantity,cbm_total
Modern Trade,Bình Dương,Đông Nam Bộ,212,7,27224.166666666668,1770.0036857931668
Modern Trade,Hồ Chí Minh,Đông Nam Bộ,328,36,26469.691666666666,1684.4979862579335
Modern Trade,Cần Thơ,Đồng bằng sông Cửu Long,134,3,14503.583333333334,919.8823360250001
Modern Trade,Tiền Giang,Đồng bằng sông Cửu Long,118,2,11870.583333333334,750.58790695
Modern Trade,Đà Nẵng,Bắc Trung Bộ và Duyên hải miền Trung,112,3,10969.666666666666,704.4276839245833
Modern Trade,Hà Nội,Đồng bằng sông Hồng,108,8,8268.633333333333,548.8609042061
Modern Trade,Khánh Hòa,Bắc Trung Bộ và Duyên hải miền Trung,106,4,8213.5,523.6464743083334
Modern Trade,Hải Phòng,Đồng bằng sông Hồng,65,3,5212.5,358.4612312166667
Modern Trade,Đắk Lắk,Tây Nguyên,99,3,3332.5833333333335,196.74736679166668
Modern Trade,Thanh Hóa,Bắc Trung Bộ và Duyên hải miền Trung,65,6,3183.3333333333335,204.79959266916669
Modern Trade,Phú Thọ,Trung du và miền núi phía Bắc,53,2,2262.25,151.67366046666666
Modern Trade,Bắc Giang,Trung du và miền núi phía Bắc,13,1,285.5833333333333,22.342103205
Modern Trade,Đồng Nai,Đông Nam Bộ,28,5,257.3333333333333,17.491551872916666
Modern Trade,Quảng Nam,Bắc Trung Bộ và Duyên hải miền Trung,30,1,204.21666666666667,12.007681714066667
Modern Trade,Yên Bái,Trung du và miền núi phía Bắc,11,4,152.58333333333334,10.26290888325
Modern Trade,Bà Rịa - Vũng Tàu,Đông Nam Bộ,15,5,140.75,9.316428986250001
Modern Trade,Sơn La,Trung du và miền núi phía Bắc,3,1,53.416666666666664,3.38365125
Modern Trade,Vĩnh Long,Đồng bằng sông Cửu Long,4,1,35.75,2.3515048333333337
Modern Trade,An Giang,Đồng bằng sông Cửu Long,7,4,34.166666666666664,2.6220175833333332
Modern Trade,Cà Mau,Đồng bằng sông Cửu Long,6,2,25.666666666666668,1.9079787500000003
Modern Trade,Tuyên Quang,Trung du và miền núi phía Bắc,6,1,17.166666666666668,1.4803226666666667
Modern Trade,Quảng Bình,Bắc Trung Bộ và Duyên hải miền Trung,5,2,15.833333333333334,2.1071288708333333
Modern Trade,Bến Tre,Đồng bằng sông Cửu Long,5,3,11.333333333333334,1.4988732458333334
Modern Trade,Phú Yên,Bắc Trung Bộ và Duyên hải miền Trung,1,1,7.916666666666667,0.7843066666666667
Modern Trade,Hòa Bình,Trung du và miền núi phía Bắc,7,1,7.583333333333333,0.5487077158333333
Modern Trade,Kiên Giang,Đồng bằng sông Cửu Long,4,1,7.0,0.40898281983333334
Modern Trade,Hậu Giang,Đồng bằng sông Cửu Long,2,1,6.333333333333334,0.6552413333333333
Modern Trade,Bạc Liêu,Đồng bằng sông Cửu Long,2,1,6.0,0.6317440000000001
Modern Trade,Hà Tĩnh,Bắc Trung Bộ và Duyên hải miền Trung,1,1,5.916666666666667,0.6302066666666667
