district,orders,quantity,cbm,avg_dist_my_phuoc,avg_dist_vinh_loc,avg_lat,avg_lon,dist_ds1,dist_ds2,traffic_factor,baseline_dist,baseline_time,baseline_2h,baseline_4h,ds_dist,nearest_facility,ds_overhead,ds_time,ds_2h,ds_4h,qty_share,sla_status,best_rdc_km
Bình Tân,249,26954.408333333333,1690.6367979698834,41.29724903417543,5.339041572400149,10.780823976095617,106.60370418426295,2.5504812550927416,10.3542000680229,1.4,5.339041572400149,104.94931640272041,Met,Met,2.5504812550927416,DS1 (Tân Phú),35.0,42.14134751425968,Met,Met,0.4113463860967652,Adequate,5.339041572400149
Tân Phú,223,23468.583333333332,1194.6857254490335,40.8562235155962,7.091543598248473,10.784774198055894,106.62669944592953,0.0028696835533849373,7.910187406781931,1.8,7.091543598248473,115.52955695369451,Met,Met,0.0028696835533849373,DS1 (Tân Phú),35.0,35.01033086079219,Met,Met,0.3581498366276181,Adequate,7.091543598248473
Thủ Đức,285,3532.75,191.32691255311667,40.13305293476246,22.67671958847953,10.825202411722142,106.76581114254702,15.844462433556926,9.358834786077443,1.4,22.67671958847953,153.49481484774267,Not Met,Met,9.358834786077443,DS2 (Quận 1),35.0,61.20473740101684,Met,Met,0.05391266346908675,Adequate,22.67671958847953
Quận 5,20,2304.0,79.290767876,44.63275893481413,11.38323740582554,10.75352,106.664158,5.370326334480329,4.331809373585334,1.8,11.38323740582554,130.97965466097196,Not Met,Met,4.331809373585334,DS2 (Quận 1),35.0,50.5945137449072,Met,Met,0.03516093033268017,Adequate,11.38323740582554
Quận 12,152,2128.366666666667,97.45092171186667,32.69929009468674,11.480765950252934,10.859740600368324,106.63632785635359,8.399097728529986,11.731344028102422,1.4,11.480765950252934,122.14614466070822,Not Met,Met,8.399097728529986,DS1 (Tân Phú),35.0,58.51747363988396,Met,Met,0.03248062156643463,Adequate,11.480765950252934
Quận 7,51,1439.25,55.646060782650004,47.8531259868564,18.24661145345621,10.735185963414635,106.72406964430894,11.98222363389052,5.112429848912784,1.4,18.24661145345621,141.0905120696774,Not Met,Met,5.112429848912784,DS2 (Quận 1),35.0,49.314803576955796,Met,Met,0.021964135842582437,Adequate,18.24661145345621
Quận 3,35,1101.1180555555557,38.54646990452778,41.19451007037444,11.711541226480664,10.785850663636364,106.67220631515151,4.972059025243838,3.1540469386712298,1.8,11.711541226480664,132.1615484153304,Not Met,Met,3.1540469386712298,DS2 (Quận 1),35.0,46.354568979216424,Met,Met,0.01680396494767584,Adequate,11.711541226480664
Quận 4,23,1086.0,33.876511229533335,44.457043702535685,15.021214945119702,10.761065,106.700337,8.465658710906414,1.4022760645994725,1.8,15.021214945119702,144.0763738024309,Not Met,Met,1.4022760645994725,DS2 (Quận 1),35.0,40.0481938325581,Met,Met,0.016573251016185182,Adequate,15.021214945119702
Gò Vấp,77,884.4166666666666,39.783452979100005,36.170687430109545,12.406361704726155,10.831377706632654,106.66721345918369,6.812091398214267,7.271388497842147,1.8,12.406361704726155,134.66290213701416,Not Met,Met,6.812091398214267,DS1 (Tân Phú),35.0,59.523529033571364,Met,Met,0.013496923959083282,Adequate,12.406361704726155
Quận 1,58,675.6458333333334,38.912197814500004,43.05721898216862,14.630053868056216,10.773548879032258,106.69815291129032,7.904641569377452,0.007483202267692957,1.8,14.630053868056216,142.66819392500238,Not Met,Met,0.007483202267692957,DS2 (Quận 1),35.0,35.026939528163695,Met,Met,0.01031090975494747,Adequate,14.630053868056216
Bình Chánh,49,543.5,23.759294536250003,45.213877822106426,10.13160210576056,10.750132042553192,106.61994817021277,3.9248239146254407,8.93436418315989,1.4,10.13160210576056,118.36848589612957,Met,Met,3.9248239146254407,DS1 (Tân Phú),35.0,45.98950696095123,Met,Met,0.008294255918321038,Adequate,10.13160210576056
Hóc Môn,27,393.0,22.364343430933335,29.924311783959034,11.857385506774959,10.883011468085106,106.60766197872341,11.116786641787495,15.686205863695283,1.4,11.857385506774959,123.20067941896988,Not Met,Met,11.116786641787495,DS1 (Tân Phú),35.0,66.12700259700499,Met,Met,0.005997502439558726,Adequate,11.857385506774959
Quận 10,197,271.425,13.990092466922222,42.442667975627614,11.906464646188466,10.774696216216217,106.67346685135135,5.230554132777437,2.704992050508613,1.8,11.906464646188466,132.86327272627847,Not Met,Met,2.704992050508613,DS2 (Quận 1),35.0,44.73797138183101,Met,Met,0.004142168192512029,Adequate,11.906464646188466
Bình Thạnh,4,216.0,10.422910692,41.05386007300064,16.715251023893604,10.796657133333333,106.71707540000001,9.959247357706474,3.2986833556755015,1.8,16.715251023893604,150.174903686017,Not Met,Met,3.2986833556755015,DS2 (Quận 1),35.0,46.87526008043181,Met,Met,0.0032963372186887658,Adequate,16.715251023893604
Củ Chi,21,182.0,8.546705433333333,23.808797597820394,22.11641099445494,10.972192,106.496543,25.222674812589887,31.193512332423783,1.2,22.11641099445494,143.07938638669185,Not Met,Met,22.11641099445494,Vinh Loc RDC,90.0,143.07938638669185,Not Met,Met,0.002777469323154423,Adequate,22.11641099445494
Tân Bình,2,110.0,7.101685000000001,41.20473766650456,8.779682938327934,10.782636000000002,106.64534099999999,2.0503488995475854,5.862650470425028,1.8,8.779682938327934,121.60685857798056,Not Met,Met,2.0503488995475854,DS1 (Tân Phú),35.0,42.381256038371305,Met,Met,0.0016786902502581677,Adequate,8.779682938327934
Quận 6,7,83.66666666666667,3.6727578579166673,45.52954764545309,9.183568180194309,10.743251714285714,106.63678771428572,4.749562740720249,7.5046372795611545,1.8,9.183568180194309,123.06084544869951,Not Met,Met,4.749562740720249,DS1 (Tân Phú),35.0,52.0984258665929,Met,Met,0.001276821978226667,Adequate,9.183568180194309
Phú Nhuận,8,78.16666666666667,4.868871250000001,39.376513190447135,12.855242779483381,10.803877,106.681113,6.310599752370734,3.85911676874516,1.8,12.855242779483381,136.27887400614017,Not Met,Met,3.85911676874516,DS2 (Quận 1),35.0,48.89282036748258,Met,Met,0.0011928874657137587,Adequate,12.855242779483381
Quận 11,4,36.479166666666664,1.8319728583333335,44.266569335213745,9.681097357182818,10.755245,106.648289,4.04497054874638,5.817795790461849,1.8,9.681097357182818,124.85195048585814,Not Met,Met,4.04497054874638,DS1 (Tân Phú),35.0,49.56189397548697,Met,Met,0.0005567020129170552,Adequate,9.681097357182818
Quận 8,2,24.0,1.581365,46.0207362739435,13.18427804057327,10.742739,106.677766,7.279581033039299,4.084410430201194,1.4,13.18427804057327,126.91597851360515,Not Met,Met,4.084410430201194,DS2 (Quận 1),35.0,46.43634920456334,Met,Met,0.0003662596909654184,Adequate,13.18427804057327
Nhà Bè,5,14.5,0.8754587575,54.81212903337548,23.787031008437648,10.678244,106.75368,18.243773604245547,12.20367298619728,1.4,23.787031008437648,156.60368682362542,Not Met,Met,12.20367298619728,DS2 (Quận 1),35.0,69.17028436135237,Met,Met,0.0002212818966249403,Adequate,23.787031008437648
