sku_code,carton,loose,pallet,total_orders,pallet_share,carton_share,loose_share,avg_qty_per_order,baseline_pick_time_sec,pcs_per_carton,pcs_per_pallet,cbm_incl_flap_m3,pcs_weight_kg,carton_weight_kg,ergonomic_penalty,abc_quantity,xyz_frequency,order_frequency,quantity,size_score_norm
1510001871,0,2,0,2,0.0,0.0,1.0,1.0,6.0,6,96,0.016461,1.9,11.4,0,C,Z,2,2.0,1.2678277445628627
1510001937,1,0,0,1,0.0,1.0,0.0,4.0,12.0,1,72,0.0297,3.0,3.0,0,C,Z,1,4.0,2.2874967507148427
1510001949,3,19,0,22,0.0,0.13636363636363635,0.8636363636363636,1.375,6.818181818181818,4,192,0.008569,1.25,5.0,0,C,Z,22,30.25,0.6599851736321712
1510001954,0,1,0,1,0.0,0.0,1.0,1.0,6.0,4,144,0.01,1.55,6.2,0,C,Z,1,1.0,0.7702009261666137
1510001964,21,0,0,21,0.0,1.0,0.0,2.9047619047619047,12.0,1,24,0.069966,9.8,9.8,2,C,Z,21,61.0,5.3887878000173295
1510002021,6,0,0,6,0.0,1.0,0.0,1.1666666666666667,12.0,1,16,0.08690300000000001,9.8,9.8,2,C,Z,6,7.0,6.693277108665724
1510002069,3,0,0,3,0.0,1.0,0.0,1.3333333333333333,12.0,1,32,0.05544,5.9,5.9,1,C,Z,3,4.0,4.269993934667706
1510002075,1,0,0,1,0.0,1.0,0.0,1.0,12.0,1,32,0.05576,6.8,6.8,1,C,Z,1,1.0,4.294640364305038
1510002076,1,0,0,1,0.0,1.0,0.0,1.0,12.0,1,32,0.05576,6.8,6.8,1,C,Z,1,1.0,4.294640364305038
1510002077,11,0,0,11,0.0,1.0,0.0,2.1818181818181817,12.0,1,32,0.05544,7.0,7.0,1,C,Z,11,24.0,4.269993934667706
1510002236,0,6,0,6,0.0,0.0,1.0,1.0,6.0,4,192,0.008569,1.25,5.0,0,C,Z,6,6.0,0.6599851736321712
1510002423,1,0,0,1,0.0,1.0,0.0,2.0,12.0,1,20,0.083398,11.0,11.0,2,C,Z,1,2.0,6.423321684044325
1510002613,18,0,0,18,0.0,1.0,0.0,2.611111111111111,12.0,1,24,0.062974,8.0,8.0,1,C,Z,18,47.0,4.8502633124416334
1510002673,4,0,1,5,0.2,0.8,0.0,10.2,33.6,1,24,0.064676,8.0,8.0,1,C,Z,5,51.0,4.98135151007519
1510002688,5,0,0,5,0.0,1.0,0.0,2.8,12.0,1,16,0.08690300000000001,9.8,9.8,2,C,Z,5,14.0,6.693277108665724
