ship_to_customer,customer_key,customer_match_status,shipment_rows,orders,quantity
unknown,UNKNOWN,missing_customer_name,24859,5432,159864.81661706348
NHÂN VIÊN MUA HÀNG HAPPY GOODS,NHAN VIEN MUA HANG HAPPY GOODS,unmatched_customer_key,591,277,1885.0
CÔNG TY CỔ PHẦN MEDIAMART VIỆT NAM,CONG TY CO PHAN MEDIAMART VIET NAM,ambiguous_multi_location_customer,387,120,765.2916666666666
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TUVINA,CONG TY TNHH THUONG MAI DICH VU TUVINA,ambiguous_multi_location_customer,307,111,12219.0
CHI NHÁNH CÔNG TY TNHH CAO PHONG QUẬN TÂN PHÚ - SIÊU THỊ ĐIỆN MÁY NỘI THẤT CHỢ LỚN,CHI NHANH CONG TY TNHH CAO PHONG QUAN TAN PHU - SIEU THI ĐIEN MAY NOI THAT CHO LON,ambiguous_multi_location_customer,281,33,1549.0
CÔNG TY CỔ PHẦN ĐẦU TƯ ĐIỆN MÁY XANH- TPHCM,CONG TY CO PHAN ĐAU TU ĐIEN MAY XANH- TPHCM,ambiguous_multi_location_customer,280,70,1376.7916666666667
CHI NHÁNH CÔNG TY TNHH CAO PHONG - QUẬN 4,CHI NHANH CONG TY TNHH CAO PHONG - QUAN 4,ambiguous_multi_location_customer,273,18,966.0
CÔNG TY TNHH THISO RETAIL (E-Mart),CONG TY TNHH THISO RETAIL (E-MART),ambiguous_multi_location_customer,273,86,773.3333333333334
CÔNG TY TNHH S-RETAIL VN,CONG TY TNHH S-RETAIL VN,ambiguous_multi_location_customer,265,71,2146.0208333333335
CHI NHÁNH CÔNG TY TNHH CAO PHONG QUẬN  3 - SIÊU THỊ ĐIỆN MÁY NỘI THẤT CHỢ LỚN,CHI NHANH CONG TY TNHH CAO PHONG QUAN 3 - SIEU THI ĐIEN MAY NOI THAT CHO LON,ambiguous_multi_location_customer,249,17,963.0
CÔNG TY CỔ PHẦN GROUPE SEB VIỆT NAM (FOC),CONG TY CO PHAN GROUPE SEB VIET NAM (FOC),unmatched_customer_key,245,64,625.4398809523809
CÔNG TY CỔ PHẦN THẾ GIỚI DI ĐỘNG- TPHCM,CONG TY CO PHAN THE GIOI DI ĐONG- TPHCM,ambiguous_multi_location_customer,208,79,16349.916666666666
CHI NHÁNH CÔNG TY TNHH CAO PHONG - QUẬN 7 (TDT),CHI NHANH CONG TY TNHH CAO PHONG - QUAN 7 (TDT),ambiguous_multi_location_customer,207,16,631.0
CHI NHÁNH CÔNG TY TNHH CAO PHONG - QUẬN 7 (HTP),CHI NHANH CONG TY TNHH CAO PHONG - QUAN 7 (HTP),ambiguous_multi_location_customer,204,18,621.0
CHI NHÁNH CÔNG TY TNHH CAO PHONG QUẬN  2 - SIÊU THỊ ĐIỆN MÁY NỘI THẤT CHỢ LỚN,CHI NHANH CONG TY TNHH CAO PHONG QUAN 2 - SIEU THI ĐIEN MAY NOI THAT CHO LON,ambiguous_multi_location_customer,201,17,571.0
CÔNG TY TNHH CAO PHONG - ĐĐKD SIÊU THỊ ĐIỆN MÁY NỘI THẤT CHỢ LỚN - CẦN THƠ 2,CONG TY TNHH CAO PHONG - ĐĐKD SIEU THI ĐIEN MAY NOI THAT CHO LON - CAN THO 2,ambiguous_multi_location_customer,194,18,654.0
CHI NHÁNH CÔNG TY TNHH CAO PHONG - BÌNH TÂN 2,CHI NHANH CONG TY TNHH CAO PHONG - BINH TAN 2,ambiguous_multi_location_customer,189,23,1138.0
CHI NHÁNH CÔNG TY TNHH CAO PHONG TẠI NHA TRANG - SIÊU THỊ ĐIỆN MÁY NỘI THẤT CHỢ LỚN,CHI NHANH CONG TY TNHH CAO PHONG TAI NHA TRANG - SIEU THI ĐIEN MAY NOI THAT CHO LON,ambiguous_multi_location_customer,185,16,689.0
CHI NHÁNH CÔNG TY TNHH CAO PHONG TẠI CẦN THƠ - SIÊU THỊ ĐIỆN MÁY NỘI THẤT CHỢ LỚN,CHI NHANH CONG TY TNHH CAO PHONG TAI CAN THO - SIEU THI ĐIEN MAY NOI THAT CHO LON,ambiguous_multi_location_customer,184,17,538.0
CHI NHÁNH CÔNG TY CỔ PHẦN THẾ GIỚI DI ĐỘNG - BÌNH DƯƠNG,CHI NHANH CONG TY CO PHAN THE GIOI DI ĐONG - BINH DUONG,ambiguous_multi_location_customer,183,65,14298.916666666666
