source_warehouse,region,orders,shipment_lines,customers,quantity,cbm_total,region_order_share,region_quantity_share,warehouse_order_share,warehouse_quantity_share
My Phuoc,Central,89,321,5,6242.0,380.1977443541667,0.6402877697841727,0.9299068901303538,0.11337579617834395,0.09482287172631707
Vinh Loc,Central,50,141,7,470.5,25.067763533333334,0.3597122302158273,0.07009310986964619,0.07987220447284345,0.0650245079973465
My Phuoc,HCMC,380,1399,17,40028.0,2362.888485750289,0.5114401076716016,0.9012749185338935,0.4840764331210191,0.6080695144923133
Vinh Loc,HCMC,363,1318,62,4384.641666666666,246.57223789338335,0.48855989232839836,0.09872508146610659,0.5798722044728435,0.6059705996167171
My Phuoc,Mekong Delta,50,274,7,1315.0,63.1774474396,0.6172839506172839,0.9238334992096481,0.06369426751592357,0.019976301877620464
Vinh Loc,Mekong Delta,31,71,6,108.41666666666667,7.280620498666667,0.38271604938271603,0.07616650079035185,0.04952076677316294,0.014983507776221717
My Phuoc,North,93,255,7,8484.0,571.5966068083334,0.5284090909090909,0.9090803562100579,0.11847133757961784,0.12888132709485325
Vinh Loc,North,83,233,13,848.5083333333333,45.77138882276667,0.4715909090909091,0.09091964378994215,0.13258785942492013,0.11726639087491708
My Phuoc,Other Vietnam,83,597,9,1833.0,90.34788554373334,0.6058394160583942,0.7222222222222222,0.10573248407643313,0.02784529379595309
Vinh Loc,Other Vietnam,54,142,8,705.0,36.300575419000005,0.39416058394160586,0.2777777777777778,0.08626198083067092,0.09743310975160316
My Phuoc,Southeast / HCMC fringe,90,336,5,7926.0,495.43824808333335,0.6666666666666666,0.9168658903370094,0.11464968152866242,0.12040469101294282
Vinh Loc,Southeast / HCMC fringe,45,115,4,718.6666666666666,38.02042288333333,0.3333333333333333,0.08313410966299067,0.07188498402555911,0.09932188398319453
