source_warehouse,region,province,geography_source,shipment_lines,orders,customers,quantity,cbm_total
My Phuoc,Đông Nam Bộ,Hồ Chí Minh,transaction_text_parse,1336,316,26,33080.0,2050.0485592496
My Phuoc,Đông Nam Bộ,Hồ Chí Minh,distributor_match,3091,492,35,16800.0,750.3165709277556
My Phuoc,Đồng bằng sông Cửu Long,Cần Thơ,transaction_text_parse,532,110,6,9252.0,570.4712271174001
My Phuoc,Đồng bằng sông Hồng,Hà Nội,transaction_text_parse,290,93,9,8583.0,518.6099919000001
My Phuoc,Bắc Trung Bộ và Duyên hải miền Trung,Đà Nẵng,transaction_text_parse,679,115,8,8309.0,504.4964074934667
My Phuoc,Đồng bằng sông Cửu Long,Đồng Tháp,transaction_text_parse,350,97,6,7900.0,496.12945551986667
My Phuoc,Bắc Trung Bộ và Duyên hải miền Trung,Đà Nẵng,distributor_match,239,64,4,7008.0,373.258177525
My Phuoc,Tây Nguyên,Lâm Đồng,transaction_text_parse,432,80,4,6906.0,377.74336555
My Phuoc,Bắc Trung Bộ và Duyên hải miền Trung,Khánh Hòa,transaction_text_parse,528,103,6,6002.0,355.196358412
My Phuoc,Bắc Trung Bộ và Duyên hải miền Trung,Nghệ An,transaction_text_parse,147,55,3,4261.0,208.86295089583334
Vinh Loc,Đông Nam Bộ,Hồ Chí Minh,transaction_text_parse,977,288,43,3918.4583333333335,215.49670028893334
My Phuoc,Đông Nam Bộ,Đồng Nai,transaction_text_parse,891,332,9,3343.0,158.25187094080357
My Phuoc,Đồng bằng sông Hồng,Hải Phòng,transaction_text_parse,125,46,4,3168.0,216.81449278333335
My Phuoc,Trung du và miền núi phía Bắc,Phú Thọ,transaction_text_parse,638,117,11,3156.0,184.78751282646667
My Phuoc,Đồng bằng sông Hồng,Ninh Bình,transaction_text_parse,97,35,5,2909.0,205.20838425
My Phuoc,Bắc Trung Bộ và Duyên hải miền Trung,Huế,distributor_match,69,18,1,2561.0,139.13195000000002
My Phuoc,Đông Nam Bộ,Đồng Nai,distributor_match,262,50,4,2525.0,119.09635593893334
My Phuoc,Tây Nguyên,Đắk Lắk,distributor_match,148,43,2,1915.0,111.79126379200001
My Phuoc,Đồng bằng sông Cửu Long,An Giang,transaction_text_parse,400,59,3,1826.0,84.1258929002
My Phuoc,Bắc Trung Bộ và Duyên hải miền Trung,Khánh Hòa,distributor_match,154,28,2,1759.0,100.743983025
My Phuoc,Bắc Trung Bộ và Duyên hải miền Trung,Thanh Hóa,transaction_text_parse,84,40,4,1737.0,109.78292450000001
My Phuoc,Đồng bằng sông Hồng,Bắc Ninh,transaction_text_parse,70,25,4,1179.0,61.671214125000006
My Phuoc,Đồng bằng sông Hồng,Hà Nội,distributor_match,46,10,3,1151.0,52.232683
My Phuoc,Bắc Trung Bộ và Duyên hải miền Trung,Quảng Trị,distributor_match,84,24,2,1096.0,57.25290156625
Vinh Loc,Đồng bằng sông Hồng,Ninh Bình,transaction_text_parse,106,38,5,977.75,80.07820507641667
Vinh Loc,Đông Nam Bộ,Hồ Chí Minh,distributor_match,652,187,22,886.0166666666667,48.58042831663334
My Phuoc,Đồng bằng sông Cửu Long,An Giang,distributor_match,127,23,5,884.0,41.05064860626667
My Phuoc,Tây Nguyên,Lâm Đồng,distributor_match,202,27,3,860.0,41.02523189233334
Vinh Loc,Bắc Trung Bộ và Duyên hải miền Trung,Đà Nẵng,distributor_match,149,50,4,728.4791666666666,41.03469292916667
Vinh Loc,Đồng bằng sông Cửu Long,Đồng Tháp,transaction_text_parse,107,42,2,707.5833333333334,36.89416955
My Phuoc,Đồng bằng sông Cửu Long,Vĩnh Long,transaction_text_parse,234,52,6,694.0,32.3776183066
My Phuoc,Đồng bằng sông Cửu Long,Cần Thơ,distributor_match,202,23,2,691.0,34.22876684366667
Vinh Loc,Bắc Trung Bộ và Duyên hải miền Trung,Đà Nẵng,transaction_text_parse,140,43,6,685.675,38.64351851931667
Vinh Loc,Trung du và miền núi phía Bắc,Phú Thọ,transaction_text_parse,134,47,5,661.4166666666666,31.400697507500002
Vinh Loc,Đồng bằng sông Cửu Long,Cần Thơ,distributor_match,110,44,1,659.9166666666666,32.460859475
