province,region,shipment_lines,orders,customers,quantity,cbm_total,quantity_rank,orders_rank,customers_rank,my_phuoc_orders,vinh_loc_orders,my_phuoc_quantity,vinh_loc_quantity,my_phuoc_quantity_share,vinh_loc_quantity_share,quantity_share_gap,dominance_intensity,dominant_warehouse
Ninh Thuận,Bắc Trung Bộ và Duyên hải miền Trung,195,42,2,3178.0,148.937052525,17,24,42,42,0,3178.0,0.0,1.0,0.0,1.0,1.0,My Phuoc
Bình Thuận,Bắc Trung Bộ và Duyên hải miền Trung,340,54,6,3110.0,146.061857943,18,20,13,54,0,3110.0,0.0,1.0,0.0,1.0,1.0,My Phuoc
Quảng Trị,Bắc Trung Bộ và Duyên hải miền Trung,103,22,3,1005.0,57.76044978291667,26,32,35,22,0,1005.0,0.0,1.0,0.0,1.0,1.0,My Phuoc
Đồng Tháp,Đồng bằng sông Cửu Long,140,33,3,280.0,13.4992490338,35,28,38,33,0,280.0,0.0,1.0,0.0,1.0,1.0,My Phuoc
Tây Ninh,Đông Nam Bộ,93,15,1,248.0,12.565975719533334,36,40,59,15,0,248.0,0.0,1.0,0.0,1.0,1.0,My Phuoc
Sóc Trăng,Đồng bằng sông Cửu Long,55,13,1,126.0,5.874500050666667,42,45,55,13,0,126.0,0.0,1.0,0.0,1.0,1.0,My Phuoc
Kon Tum,Tây Nguyên,30,9,1,65.0,3.922742576,47,49,50,9,0,65.0,0.0,1.0,0.0,1.0,1.0,My Phuoc
Đắk Nông,Tây Nguyên,33,10,1,61.0,3.4749770753333333,50,48,61,10,0,61.0,0.0,1.0,0.0,1.0,1.0,My Phuoc
Tuyên Quang,Trung du và miền núi phía Bắc,10,2,1,31.0,2.154967,52,60,58,2,0,31.0,0.0,1.0,0.0,1.0,1.0,My Phuoc
Sơn La,Trung du và miền núi phía Bắc,8,3,1,20.0,1.15875,58,59,56,3,0,20.0,0.0,1.0,0.0,1.0,1.0,My Phuoc
Điện Biên,Trung du và miền núi phía Bắc,4,2,1,5.833333333333334,0.5906513333333333,60,61,60,0,2,0.0,5.833333333333334,0.0,1.0,-1.0,1.0,Vinh Loc
Bắc Kạn,Trung du và miền núi phía Bắc,5,5,1,4.666666666666667,0.29542700000000005,61,54,45,0,5,0.0,4.666666666666667,0.0,1.0,-1.0,1.0,Vinh Loc
Bình Định,Bắc Trung Bộ và Duyên hải miền Trung,242,46,8,2072.0,101.35943263433334,22,21,10,44,2,2067.0,5.0,0.9975868725868726,0.002413127413127413,0.9951737451737452,0.9951737451737452,My Phuoc
Quảng Nam,Bắc Trung Bộ và Duyên hải miền Trung,258,73,6,5981.75,305.74751373333334,9,16,14,67,6,5967.0,14.75,0.9975341664228695,0.0024658335771304382,0.995068332845739,0.995068332845739,My Phuoc
Vĩnh Long,Đồng bằng sông Cửu Long,200,45,5,2209.75,103.95825678893334,21,22,22,43,2,2200.0,9.75,0.9955877361692499,0.004412263830750085,0.9911754723384998,0.9911754723384998,My Phuoc
Lâm Đồng,Tây Nguyên,391,57,4,1083.3333333333333,42.99479860900001,24,18,27,55,2,1075.0,8.333333333333334,0.9923076923076923,0.007692307692307694,0.9846153846153847,0.9846153846153847,My Phuoc
Quảng Ngãi,Bắc Trung Bộ và Duyên hải miền Trung,213,95,5,5560.166666666667,292.72376154333335,10,13,20,94,1,5515.0,45.166666666666664,0.9918767423038877,0.008123257696112225,0.9837534846077755,0.9837534846077755,My Phuoc
Quảng Bình,Bắc Trung Bộ và Duyên hải miền Trung,117,37,4,1404.8333333333333,73.63426041666668,23,25,30,28,9,1392.0,12.833333333333334,0.9908648712777317,0.00913512872226836,0.9817297425554633,0.9817297425554633,My Phuoc
Cà Mau,Đồng bằng sông Cửu Long,71,24,5,314.0,16.331890216666668,32,30,16,22,2,311.0,3.0,0.9904458598726115,0.009554140127388535,0.9808917197452229,0.9808917197452229,My Phuoc
Huế,Bắc Trung Bộ và Duyên hải miền Trung,271,62,5,4613.5,259.8426835653667,12,17,17,57,5,4565.0,48.5,0.9894873740110545,0.010512625988945486,0.9789747480221089,0.9789747480221089,My Phuoc
Long An,Đồng bằng sông Cửu Long,184,44,5,458.5,20.233211,29,23,19,42,2,453.0,5.5,0.9880043620501636,0.011995637949836423,0.9760087241003272,0.9760087241003272,My Phuoc
Phú Thọ,Trung du và miền núi phía Bắc,122,57,3,2303.0833333333335,154.52917221666667,20,19,34,48,9,2269.0,34.083333333333336,0.985200998661215,0.014799001338784963,0.97040199732243,0.97040199732243,My Phuoc
Phú Yên,Bắc Trung Bộ và Duyên hải miền Trung,77,23,4,673.3333333333334,31.859393570833337,28,31,29,20,3,663.0,10.333333333333334,0.9846534653465346,0.015346534653465346,0.9693069306930693,0.9693069306930693,My Phuoc
Bắc Giang,Trung du và miền núi phía Bắc,26,10,3,176.83333333333334,10.7878095,39,46,31,8,2,174.0,2.8333333333333335,0.9839773798303487,0.016022620169651274,0.9679547596606974,0.9679547596606974,My Phuoc
