source_warehouse,region,orders,shipment_lines,customers,quantity,cbm_total,region_order_share,region_quantity_share,warehouse_order_share,warehouse_quantity_share
My Phuoc,Bắc Trung Bộ và Duyên hải miền Trung,887,3715,61,65993.0,3739.31056471415,0.8636806231742941,0.9761378620498172,0.24584257206208426,0.26874381518237833
Vinh Loc,Bắc Trung Bộ và Duyên hải miền Trung,140,489,32,1613.2291666666667,97.97123456958334,0.13631937682570594,0.023862137950182723,0.0966183574879227,0.08209093680841224
My Phuoc,Trung du và miền núi phía Bắc,94,223,17,3100.0,210.52315059166668,0.6573426573426573,0.9686617105211766,0.026053215077605323,0.012624154487072459
Vinh Loc,Trung du và miền núi phía Bắc,49,111,13,100.29166666666667,6.506094825000001,0.34265734265734266,0.03133828947882355,0.033816425120772944,0.005103451537362905
My Phuoc,Tây Nguyên,197,908,12,5956.0,294.33967546133334,0.7975708502024291,0.9088504577822991,0.05460088691796009,0.024254665846775342
Vinh Loc,Tây Nguyên,50,146,7,597.3333333333334,39.606464159666665,0.20242914979757085,0.09114954221770093,0.03450655624568668,0.03039596229315937
My Phuoc,Đông Nam Bộ,1518,7159,90,115047.0,6486.140157229423,0.6495507060333762,0.9158560700306643,0.42073170731707316,0.4685068068626533
Vinh Loc,Đông Nam Bộ,819,3269,116,10569.899603174603,602.9797559024207,0.3504492939666239,0.08414392996933574,0.5652173913043478,0.5378609427130169
My Phuoc,Đồng bằng sông Cửu Long,670,2859,56,38556.0,2267.77847915845,0.8375,0.9590140233456422,0.18569844789356985,0.15701190335598894
Vinh Loc,Đồng bằng sông Cửu Long,130,349,20,1647.7916666666667,93.77860750241668,0.1625,0.04098597665435785,0.08971704623878538,0.08384968755633186
My Phuoc,Đồng bằng sông Hồng,242,661,29,16909.0,1106.9838865666668,0.48111332007952284,0.7674680510049218,0.06707317073170732,0.06885865426513167
Vinh Loc,Đồng bằng sông Hồng,261,894,31,5123.1875,252.93564736775002,0.5188866799204771,0.23253194899507823,0.18012422360248448,0.26069901909171667
