district,orders,quantity,cbm,avg_dist_my_phuoc,avg_dist_vinh_loc,avg_lat,avg_lon,dist_ds1,dist_ds2,traffic_factor,baseline_dist,baseline_drive_min,baseline_pick_pack_min,baseline_dispatch_buffer_min,baseline_service_time_min,baseline_time,baseline_2h,baseline_4h,ds_dist,nearest_facility,ds_pick_pack_min,ds_dispatch_buffer_min,ds_service_time_min,ds_overhead,ds_drive_min,ds_time,ds_2h,ds_4h,distance_saving_km,time_saving_min,sla_4h_only_baseline,sla_improved_to_2h,qty_share,order_share,orders_per_day,sla_status,best_rdc_km
Bình Tân,249,26954.408333333333,1690.6367979698834,41.29724903417543,5.339041572400149,10.780823976095617,106.60370418426295,2.5504812550927416,10.3542000680229,1.4,5.339041572400149,14.949316402720417,30.0,30.0,30.0,104.94931640272041,Met,Met,2.5504812550927416,DS1 (Tân Phú),15.0,10.0,10.0,35.0,7.141347514259676,42.14134751425968,Met,Met,2.788560317307408,62.807968888460735,0,0,0.4113463860967652,0.16611074049366245,1.1635514018691588,Adequate,5.339041572400149
Tân Phú,223,23468.583333333332,1194.6857254490335,40.8562235155962,7.091543598248473,10.784774198055894,106.62669944592953,0.0028696835533849373,7.910187406781931,1.8,7.091543598248473,25.529556953694502,30.0,30.0,30.0,115.52955695369451,Met,Met,0.0028696835533849373,DS1 (Tân Phú),15.0,10.0,10.0,35.0,0.010330860792185774,35.01033086079219,Met,Met,7.088673914695088,80.51922609290233,0,0,0.3581498366276181,0.14876584389593062,1.0420560747663552,Adequate,7.091543598248473
Thủ Đức,285,3532.75,191.32691255311667,40.13305293476246,22.67671958847953,10.825202411722142,106.76581114254702,15.844462433556926,9.358834786077443,1.4,22.67671958847953,63.494814847742674,30.0,30.0,30.0,153.49481484774267,Not Met,Met,9.358834786077443,DS2 (Quận 1),15.0,10.0,10.0,35.0,26.20473740101684,61.20473740101684,Met,Met,13.317884802402085,92.29007744672583,1,1,0.05391266346908675,0.19012675116744496,1.3317757009345794,Needs Dark Store,22.67671958847953
Quận 5,20,2304.0,79.290767876,44.63275893481413,11.38323740582554,10.75352,106.664158,5.370326334480329,4.331809373585334,1.8,11.38323740582554,40.979654660971946,30.0,30.0,30.0,130.97965466097196,Not Met,Met,4.331809373585334,DS2 (Quận 1),15.0,10.0,10.0,35.0,15.594513744907204,50.5945137449072,Met,Met,7.051428032240206,80.38514091606476,1,1,0.03516093033268017,0.0133422281521014,0.09345794392523364,Needs Dark Store,11.38323740582554
Quận 12,152,2128.366666666667,97.45092171186667,32.69929009468674,11.480765950252934,10.859740600368324,106.63632785635359,8.399097728529986,11.731344028102422,1.4,11.480765950252934,32.14614466070822,30.0,30.0,30.0,122.14614466070822,Not Met,Met,8.399097728529986,DS1 (Tân Phú),15.0,10.0,10.0,35.0,23.51747363988396,58.51747363988396,Met,Met,3.081668221722948,63.62867102082426,1,1,0.03248062156643463,0.10140093395597065,0.7102803738317757,Needs Dark Store,11.480765950252934
Quận 7,51,1439.25,55.646060782650004,47.8531259868564,18.24661145345621,10.735185963414635,106.72406964430894,11.98222363389052,5.112429848912784,1.4,18.24661145345621,51.09051206967739,30.0,30.0,30.0,141.0905120696774,Not Met,Met,5.112429848912784,DS2 (Quận 1),15.0,10.0,10.0,35.0,14.314803576955795,49.314803576955796,Met,Met,13.134181604543427,91.7757084927216,1,1,0.021964135842582437,0.03402268178785857,0.2383177570093458,Needs Dark Store,18.24661145345621
Quận 3,35,1101.1180555555557,38.54646990452778,41.19451007037444,11.711541226480664,10.785850663636364,106.67220631515151,4.972059025243838,3.1540469386712298,1.8,11.711541226480664,42.161548415330394,30.0,30.0,30.0,132.1615484153304,Not Met,Met,3.1540469386712298,DS2 (Quận 1),15.0,10.0,10.0,35.0,11.354568979216427,46.354568979216424,Met,Met,8.557494287809433,85.80697943611398,1,1,0.01680396494767584,0.02334889926617745,0.16355140186915887,Needs Dark Store,11.711541226480664
Quận 4,23,1086.0,33.876511229533335,44.457043702535685,15.021214945119702,10.761065,106.700337,8.465658710906414,1.4022760645994725,1.8,15.021214945119702,54.07637380243092,30.0,30.0,30.0,144.0763738024309,Not Met,Met,1.4022760645994725,DS2 (Quận 1),15.0,10.0,10.0,35.0,5.048193832558101,40.0481938325581,Met,Met,13.61893888052023,104.02817996987281,1,1,0.016573251016185182,0.015343562374916611,0.10747663551401869,Needs Dark Store,15.021214945119702
Gò Vấp,77,884.4166666666666,39.783452979100005,36.170687430109545,12.406361704726155,10.831377706632654,106.66721345918369,6.812091398214267,7.271388497842147,1.8,12.406361704726155,44.66290213701416,30.0,30.0,30.0,134.66290213701416,Not Met,Met,6.812091398214267,DS1 (Tân Phú),15.0,10.0,10.0,35.0,24.52352903357136,59.523529033571364,Met,Met,5.594270306511889,75.1393731034428,1,1,0.013496923959083282,0.0513675783855904,0.3598130841121495,Needs Dark Store,12.406361704726155
Quận 1,58,675.6458333333334,38.912197814500004,43.05721898216862,14.630053868056216,10.773548879032258,106.69815291129032,7.904641569377452,0.007483202267692957,1.8,14.630053868056216,52.66819392500238,30.0,30.0,30.0,142.66819392500238,Not Met,Met,0.007483202267692957,DS2 (Quận 1),15.0,10.0,10.0,35.0,0.026939528163694642,35.026939528163695,Met,Met,14.622570665788523,107.64125439683869,1,1,0.01031090975494747,0.038692461641094064,0.27102803738317754,Needs Dark Store,14.630053868056216
